open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,change_5,change_10,change_20,label_change,label_change_5,weeks,week_day,label_y,label_y_5
0.8042813455657492,0.7881508078994613,0.7809583074051027,0.7706812652068125,0.7986618004866178,0.3874709976798143,0.3939147648229129,0.046569261820678116,0.06312947229419807,0.8116875077380217,0.8510259831014548,0.8680954700438384,0.05428018973590241,0.09821788554284566,0.12461739307832663,0.28147100424328136,0.4007009345794393,0.23715753424657532,0,0,49,5,13.0,0.8125
0.7767584097859327,0.7995212447636146,0.7971375233354078,0.778588807785888,0.7706812652068125,0.5243619489559164,0.5300397405148815,0.047274714399240005,0.06521557094143532,0.8032685402996164,0.8455625436757511,0.861828218866699,0.0515967577104483,0.08852313126607794,0.12017336194062778,0.31966053748231954,0.3271028037383178,0.2833904109589041,1,0,49,4,13.0,0.8125
0.7932721712538227,0.8366247755834828,0.7958929682638456,0.8521897810218976,0.778588807785888,0.7749419953596286,0.7818460142307941,0.09933906369474556,0.13480373357006153,0.811563699393339,0.8531859475255702,0.8607890891378469,0.058373627208751964,0.09007250801444924,0.12242798707652038,0.5106082036775105,0.5677570093457944,0.4212328767123288,1,1,49,3,15.0,0.8125
0.8422018348623851,0.8288450029922202,0.8438083385189796,0.8290754257907541,0.8521897810218976,0.40603248259860786,0.41585432134469535,0.05057249264654884,0.07163861785889025,0.8171350749040485,0.8501365859856427,0.8593278129566488,0.06026115124990596,0.08131068863564835,0.12157150911217592,0.47949080622347934,0.37149532710280375,0.41010273972602745,0,1,48,2,14.0,0.8125
0.7987767584097859,0.8210652304009575,0.806471686372122,0.8169099756690997,0.8290754257907541,0.4477958236658932,0.4547471715424007,0.04517849974670078,0.06299352498854058,0.8208493252445214,0.8432755225208056,0.857379444715051,0.061886352136419055,0.06515998140680887,0.12136774569144793,0.45827439886845817,0.3014018691588785,0.3972602739726028,0,1,48,1,14.0,0.8125
0.8146788990825686,0.8067025733093954,0.8089607965152458,0.7901459854014597,0.8169099756690997,0.3921113689095127,0.39989828023794444,0.03133205466409934,0.04490157688736682,0.8248111922743594,0.8392732354996507,0.8540022730962818,0.058370993329021986,0.061174394439365176,0.11747299952394546,0.461103253182461,0.3539719626168225,0.35958904109589046,0,1,48,5,14.0,0.8125
0.7975535168195719,0.8108916816277677,0.8139390168014936,0.8169099756690997,0.7901459854014597,0.5962877030162412,0.6013432992106745,0.03961940185341894,0.056150056233513566,0.8326111179893526,0.8389555936725748,0.8525409969150834,0.056604844840996066,0.058586634740931974,0.11181223485032542,0.5049504950495048,0.4217289719626168,0.41010273972602745,1,1,48,4,14.0,0.8125
0.8342507645259938,0.8246558946738479,0.8444306160547604,0.833941605839416,0.8169099756690997,0.5591647331786542,0.5629490752975552,0.040744845755348265,0.05861781209375949,0.8288968676488796,0.8413061431929358,0.8568274070465985,0.04308663917645799,0.05466604986967906,0.10059039523113528,0.3734087694483733,0.4707943925233645,0.5616438356164384,1,0,48,3,14.0,0.8125
0.8348623853211009,0.8228605625374028,0.8481642812694461,0.8236009732360097,0.833941605839416,0.45475638051044076,0.4617279395266042,0.017968025206887898,0.028694670866229968,0.8277825925467379,0.8435931643478813,0.8605293067056342,0.03556449941707194,0.05138910467728937,0.0942959424072063,0.40311173974540293,0.4696261682242991,0.5462328767123288,0,0,47,2,14.0,0.8125
0.8324159021406727,0.8378216636744465,0.853764779091475,0.8442822384428222,0.8236009732360097,0.5730858468677493,0.5764119849813762,0.02775139384150216,0.042012860419084454,0.8333539680574473,0.8483577917540182,0.8638415327163501,0.031543911549377905,0.04999601023315632,0.08851167190188898,0.4794908062234794,0.5151869158878506,0.5359589041095891,1,1,47,1,14.0,0.8125
