,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,change_5,change_10,change_20,label_change,label_change_5,weeks,week_day,label_y,label_y_5
open,1.0,0.9980101119658875,0.9987426425906772,0.9968307167168492,0.9993989877311691,-0.03393170625918475,-0.032931628944161254,-0.019709956690645385,0.24828695836793038,0.9965131306550089,0.9896424788181648,0.9748323522713651,-0.010231054722859612,-0.009686070497947199,-0.015603269954719017,0.047170900043406544,0.08900970423048317,0.13865147778277767,-0.03375170017173911,0.03043898281783126,-0.04929319994065938,0.00809207688453485,0.9941427387552714,0.9719662917504185
high,0.9980101119658875,1.0,0.9979121144564502,0.9988837680790519,0.9974697651210133,0.012026177153826013,0.01192327231260476,0.00825450872258295,0.2757146789183985,0.9951708022347858,0.9876095607200123,0.9724611644225153,0.007253838818786078,0.004873436368389307,-0.003678676281590033,0.07209573489846517,0.10728797698844506,0.1527014075363281,-0.003037638519284671,0.04820696789544893,-0.05297952443754535,0.008754009151081082,0.9961878720445364,0.9742806986037102
low,0.9987426425906772,0.9979121144564502,1.0,0.9983079378074627,0.9981631216895596,-0.0026213547454194508,-0.0033180557603993827,-0.03232274680867148,0.23622942959033943,0.9955457254850081,0.9883624635499484,0.9734802623299426,-0.023181413849092638,-0.02239902495804462,-0.027981606784429944,0.06144648595460897,0.0972068486988951,0.14393745090260393,-0.011965538416486165,0.0401664604839163,-0.04913090293280793,0.008026625851185964,0.9955013231304431,0.9730408170338949
close,0.9968307167168492,0.9988837680790519,0.9983079378074627,1.0,0.9962459574662658,0.03903205642568047,0.03763329299666201,-0.006389579972215489,0.26145697253586275,0.9944197923598016,0.9868913147862037,0.9718081294639738,-0.005419585263372474,-0.007013760040454289,-0.014602864836283086,0.08159554505570159,0.11151456510215828,0.15571986407664826,0.014011826147086046,0.053899545078652335,-0.051380661950016185,0.00887552251890166,0.9972676595949753,0.9747156093514454
pre_close,0.9993989877311691,0.9974697651210133,0.9981631216895596,0.9962459574662658,1.0,-0.04761635088486515,-0.04623041086627466,-0.0210611268685722,0.24640822341246968,0.9967947885180365,0.9899935455911626,0.9752376008503755,-0.009713419399868414,-0.008905227518196232,-0.014997614397755639,0.042215834495185595,0.08520968227005313,0.13566208385960563,-0.04308801960791124,0.027388894994395667,-0.04987568631862579,0.00718146095916605,0.9935677101960035,0.9713759034625682
change,-0.03393170625918475,0.012026177153826013,-0.0026213547454194508,0.03903205642568047,-0.04761635088486515,1.0,0.9678626561382714,0.16937865012104625,0.17258083256222714,-0.03169039992523702,-0.04005237181401382,-0.043764793258801185,0.04958630343486597,0.021863048489846725,0.004619322645266995,0.4542024307616362,0.30315325701584367,0.2308539202834322,0.6590335659245602,0.3057761506472868,-0.017150729968714785,0.01951609812008798,0.038419418221697366,0.03435816733136192
pct_chg,-0.032931628944161254,0.01192327231260476,-0.0033180557603993827,0.03763329299666201,-0.04623041086627466,0.9678626561382714,1.0,0.19793051867248676,0.1903350143331073,-0.032043581417205085,-0.04067847903805242,-0.04473729410693168,0.05838363375296267,0.026045540091608543,0.006095338772577327,0.4434734085091377,0.29962062228789077,0.223335970536092,0.6941434442490884,0.3236395582753132,-0.017116263416837287,0.02336202289200027,0.036604201184231716,0.03459345593875026
vol,-0.019709956690645385,0.00825450872258295,-0.03232274680867148,-0.006389579972215489,-0.0210611268685722,0.16937865012104625,0.19793051867248676,1.0,0.9464964876576463,-0.026184820478589547,-0.03861735792137501,-0.05462925185226582,0.8735012879333643,0.8180401051235333,0.7567155933766289,0.23200433420198346,0.2286579279480966,0.25181001354669713,0.1320758482038998,0.1753672777323952,-0.07078773660875473,0.008959822863179286,-0.005964730408292862,-0.00042913512877421745
amount,0.24828695836793038,0.2757146789183985,0.23622942959033943,0.26145697253586275,0.24640822341246968,0.17258083256222714,0.1903350143331073,0.9464964876576463,1.0,0.24072264828991083,0.22591120634009712,0.20540756935168517,0.8389551901329397,0.7914112198740453,0.7344243548051089,0.2528849830917534,0.26367032452317624,0.3015118760228743,0.12018470123247744,0.17734474088824967,-0.11079059195634759,0.011990286229676406,0.26112239167764395,0.25940340505318293
ma5,0.9965131306550089,0.9951708022347858,0.9955457254850081,0.9944197923598016,0.9967947885180365,-0.03169039992523702,-0.032043581417205085,-0.026184820478589547,0.24072264828991083,1.0,0.9960759037971219,0.9827379505072515,-0.01648221067479537,-0.01239002836265128,-0.01642384394586248,0.005618615885190785,0.058728445195801685,0.11690848672328596,-0.02849632629912804,0.0006634985014103706,-0.04781840599426873,0.007851205963850564,0.9920671886235753,0.9695668269787235
ma10,0.9896424788181648,0.9876095607200123,0.9883624635499484,0.9868913147862037,0.9899935455911626,-0.04005237181401382,-0.04067847903805242,-0.03861735792137501,0.22591120634009712,0.9960759037971219,1.0,0.9923424904060938,-0.03324204598252524,-0.024199788639511208,-0.021345917891785908,-0.05321411561954469,-0.009490866116180253,0.06929279408896732,-0.030959632231270934,-0.03882816830418167,-0.043961673337200885,0.00782277246125399,0.984742015644802,0.9621683202353932
ma20,0.9748323522713651,0.9724611644225153,0.9734802623299426,0.9718081294639738,0.9752376008503755,-0.043764793258801185,-0.04473729410693168,-0.05462925185226582,0.20540756935168517,0.9827379505072515,0.9923424904060938,1.0,-0.053878680128856125,-0.047553970483430415,-0.03733444025969996,-0.08018966290692554,-0.0839348812149976,-0.02574753454987432,-0.03167417931377809,-0.05554266010370386,-0.03334875749200831,0.00845605383908797,0.9698972098944201,0.9471540319944115
v_ma5,-0.010231054722859612,0.007253838818786078,-0.023181413849092638,-0.005419585263372474,-0.009713419399868414,0.04958630343486597,0.05838363375296267,0.8735012879333643,0.8389551901329397,-0.01648221067479537,-0.03324204598252524,-0.053878680128856125,1.0,0.9541996645862679,0.8818227331824919,0.20136558304945232,0.24642481140799827,0.27253949977072733,0.029466955119599014,0.1468814337812534,-0.07593434645393475,0.01511823436514803,-0.0030837975032782412,-0.002461553909249864
v_ma10,-0.009686070497947199,0.004873436368389307,-0.02239902495804462,-0.007013760040454289,-0.008905227518196232,0.021863048489846725,0.026045540091608543,0.8180401051235333,0.7914112198740453,-0.01239002836265128,-0.024199788639511208,-0.047553970483430415,0.9541996645862679,1.0,0.9485344620462057,0.10426488157374997,0.20527024406512373,0.26041078134279744,0.014252292081546433,0.06888160243791477,-0.0783274708974495,0.011913377860802083,-0.003983023935118985,-0.006043933490303852
v_ma20,-0.015603269954719017,-0.003678676281590033,-0.027981606784429944,-0.014602864836283086,-0.014997614397755639,0.004619322645266995,0.006095338772577327,0.7567155933766289,0.7344243548051089,-0.01642384394586248,-0.021345917891785908,-0.03733444025969996,0.8818227331824919,0.9485344620462057,1.0,0.03783948546470355,0.08916346580886345,0.20173326257476454,0.003703367691425306,0.024105501651843636,-0.06659485728269672,0.010856010656627127,-0.010763677211170651,-0.013406829090735739
